Name:Bulbasaur, Type:Grass/Poison
Name:Kommo-o, Type:Dragon/Fighting
Name:Tapu Koko, Type:Electric/Fairy
Name:Tapu Lele, Type:Psychic/Fairy
Name:Tapu Bulu, Type:Grass/Fairy
Name:Tapu Fini, Type:Water/Fairy
Name:Cosmog, Type:Psychic
Name:Cosmoem, Type:Psychic
Name:Solgaleo, Type:Psychic/Steel
Name:Lunala, Type:Psychic/Ghost
Name:Nihilego, Type:Rock/Poison
Name:Buzzwole, Type:Bug/Fighting
Name:Pheromosa, Type:Bug/Fighting
Name:Xurkitree, Type:Electric
Name:Celesteela, Type:Steel/Flying
Name:Kartana, Type:Grass/Steel
Name:Guzzlord, Type:Dark/Dragon
Name:Necrozma, Type:Psychic
Name:Magearna, Type:Steel/Fairy
Name:Marshadow, Type:Fighting/Ghost
Name:Poipole, Type:Poison
Name:Naganadel, Type:Poison/Dragon
Name:Stakataka, Type:Rock/Steel
Name:Blacephalon, Type:Fire/Ghost
Name:Zeraora, Type:Electric
Name:Meltan, Type:Steel
Name:Melmetal, Type:Steel
Name:Grookey, Type:Grass
Name:Thwackey, Type:Grass
Name:Rillaboom, Type:Grass
Name:Scorbunny, Type:Fire
Name:Raboot, Type:Fire
Name:Cinderace, Type:Fire
Name:Sobble, Type:Water
Name:Drizzile, Type:Water
Name:Inteleon, Type:Water
Name:Skwovet, Type:Normal
Name:Greedent, Type:Normal
Name:Rookidee, Type:Flying
Name:Corvisquire, Type:Flying
Name:Corviknight, Type:Flying/Steel
Name:Blipbug, Type:Bug
Name:Dottler, Type:Bug/Psychic
Name:Orbeetle, Type:Bug/Psychic
Name:Nickit, Type:Dark
Name:Thievul, Type:Dark
Name:Gossifleur, Type:Grass
Name:Eldegoss, Type:Grass
Name:Wooloo, Type:Normal
Name:Dubwool, Type:Normal
Name:Chewtle, Type:Water
Name:Drednaw, Type:Water/Rock
Name:Yamper, Type:Electric
Name:Boltund, Type:Electric
Name:Rolycoly, Type:Rock
Name:Carkol, Type:Rock/Fire
Name:Coalossal, Type:Rock/Fire
Name:Applin, Type:Grass/Dragon
Name:Flapple, Type:Grass/Dragon
Name:Appletun, Type:Grass/Dragon
Name:Silicobra, Type:Ground
Name:Sandaconda, Type:Ground
Name:Cramorant, Type:Flying/Water
Name:Arrokuda, Type:Water
Name:Barraskewda, Type:Water
Name:Toxel, Type:Electric/Poison
Name:Toxtricity, Type:Electric/Poison
Name:Sizzlipede, Type:Fire/Bug
Name:Centiskorch, Type:Fire/Bug
Name:Clobbopus, Type:Fighting
Name:Grapploct, Type:Fighting
Name:Sinistea, Type:Ghost
Name:Polteageist, Type:Ghost
Name:Hatenna, Type:Psychic
Name:Hattrem, Type:Psychic
Name:Hatterene, Type:Psychic/Fairy
Name:Impidimp, Type:Dark/Fairy
Name:Morgrem, Type:Dark/Fairy
Name:Grimmsnarl, Type:Dark/Fairy
Name:Obstagoon, Type:Dark/Normal
Name:Perrserker, Type:Steel
Name:Cursola, Type:Ghost
Name:Sirfetch'd, Type:Fighting
Name:Mr. Rime, Type:Ice/Psychic
Name:Runerigus, Type:Ground/Ghost
Name:Milcery, Type:Fairy
Name:Alcremie, Type:Fairy
Name:Falinks, Type:Fighting
Name:Pincurchin, Type:Electric
Name:Snom, Type:Ice/Bug
Name:Frosmoth, Type:Ice/Bug
Name:Stonjourner, Type:Rock
Name:Eiscue, Type:Ice
Name:Indeedee, Type:Psychic/Normal
Name:Morpeko, Type:Electric/Dark
Name:Cufant, Type:Steel
Name:Copperajah, Type:Steel
Name:Dracozolt, Type:Electric/Dragon
Name:Arctozolt, Type:Electric/Ice
Name:Dracovish, Type:Water/Dragon
Name:Arctovish, Type:Water/Ice
Name:Duraludon, Type:Steel/Dragon
Name:Dreepy, Type:Dragon/Ghost
Name:Drakloak, Type:Dragon/Ghost
Name:Dragapult, Type:Dragon/Ghost
Name:Zacian, Type:Fairy
Name:Zamazenta, Type:Fighting
Name:Eternatus, Type:Poison/Dragon
Name:Kubfu, Type:Fighting
Name:Urshifu, Type:Fighting/Dark
Name:Zarude, Type:Dark/Grass
Name:Regieleki, Type:Electric
Name:Regidrago, Type:Dragon
Name:Glastrier, Type:Ice
Name:Spectrier, Type:Ghost
Name:Calyrex, Type:Psychic/Grass
Name:Wyrdeer, Type:Normal/Psychic
Name:Kleavor, Type:Bug/Rock
Name:Ursaluna, Type:Ground/Normal
Name:Basculegion, Type:Water/Ghost
Name:Sneasler, Type:Fighting/Poison
Name:Overqwil, Type:Dark/Poison
Name:Enamorus, Type:Fairy/Flying
Name:Sprigatito, Type:Grass
Name:Floragato, Type:Grass
Name:Meowscarada, Type:Grass/Dark
Name:Fuecoco, Type:Fire
Name:Crocalor, Type:Fire
Name:Skeledirge, Type:Fire/Ghost
Name:Quaxly, Type:Water
Name:Quaxwell, Type:Water
Name:Quaquaval, Type:Water/Fighting
Name:Lechonk, Type:Normal
Name:Oinkologne, Type:Normal
Name:Tarountula, Type:Bug
Name:Spidops, Type:Bug
Name:Nymble, Type:Bug
Name:Lokix, Type:Bug/Dark
Name:Pawmi, Type:Electric
Name:Pawmo, Type:Electric/Fighting
Name:Pawmot, Type:Electric/Fighting
Name:Tandemaus, Type:Normal
Name:Maushold, Type:Normal
Name:Fidough, Type:Fairy
Name:Dachsbun, Type:Fairy
Name:Smoliv, Type:Grass/Normal
Name:Dolliv, Type:Grass/Normal
Name:Arboliva, Type:Grass/Normal
Name:Squawkabilly, Type:Normal/Flying
Name:Nacli, Type:Rock
Name:Naclstack, Type:Rock
Name:Garganacl, Type:Rock
Name:Charcadet, Type:Fire
Name:Armarouge, Type:Fire/Psychic
Name:Ceruledge, Type:Fire/Ghost
Name:Tadbulb, Type:Electric
Name:Bellibolt, Type:Electric
Name:Wattrel, Type:Electric/Flying
Name:Kilowattrel, Type:Electric/Flying
Name:Maschiff, Type:Dark
Name:Mabosstiff, Type:Dark
Name:Shroodle, Type:Poison/Normal
Name:Grafaiai, Type:Poison/Normal
Name:Bramblin, Type:Grass/Ghost
Name:Brambleghast, Type:Grass/Ghost
Name:Toedscool, Type:Ground/Grass
Name:Toedscruel, Type:Ground/Grass
Name:Klawf, Type:Rock
Name:Capsakid, Type:Grass
Name:Scovillain, Type:Grass/Fire
Name:Rellor, Type:Bug
Name:Rabsca, Type:Bug/Psychic
Name:Flittle, Type:Psychic
Name:Espathra, Type:Psychic
Name:Tinkatink, Type:Fairy/Steel
Name:Tinkatuff, Type:Fairy/Steel
Name:Tinkaton, Type:Fairy/Steel
Name:Wiglett, Type:Water
Name:Wugtrio, Type:Water
Name:Bombirdier, Type:Flying/Dark
Name:Finizen, Type:Water
Name:Palafin, Type:Water
Name:Varoom, Type:Steel/Poison
Name:Revavroom, Type:Steel/Poison
Name:Cyclizar, Type:Dragon/Normal
Name:Orthworm, Type:Steel
Name:Glimmet, Type:Rock/Poison
Name:Glimmora, Type:Rock/Poison
Name:Greavard, Type:Ghost
Name:Houndstone, Type:Ghost
Name:Flamigo, Type:Flying/Fighting
Name:Cetoddle, Type:Ice
Name:Cetitan, Type:Ice
Name:Veluza, Type:Water/Psychic
Name:Dondozo, Type:Water
Name:Tatsugiri, Type:Dragon/Water
Name:Annihilape, Type:Fighting/Ghost
Name:Clodsire, Type:Poison/Ground
Name:Farigiraf, Type:Normal/Psychic
Name:Dudunsparce, Type:Normal
Name:Kingambit, Type:Dark/Steel
Name:Great Tusk, Type:Ground/Fighting
Name:Scream Tail, Type:Fairy/Psychic
Name:Brute Bonnet, Type:Grass/Dark
Name:Flutter Mane, Type:Ghost/Fairy
Name:Slither Wing, Type:Bug/Fighting
Name:Sandy Shocks, Type:Electric/Ground
Name:Iron Treads, Type:Ground/Steel
Name:Iron Bundle, Type:Ice/Water
Name:Iron Hands, Type:Fighting/Electric
Name:Iron Jugulis, Type:Dark/Flying
Name:Iron Moth, Type:Fire/Poison
Name:Iron Thorns, Type:Rock/Electric
Name:Frigibax, Type:Dragon/Ice
Name:Arctibax, Type:Dragon/Ice
Name:Baxcalibur, Type:Dragon/Ice
Name:Gimmighoul, Type:Ghost
Name:Gholdengo, Type:Steel/Ghost
Name:Wo-Chien, Type:Dark/Grass
Name:Chien-Pao, Type:Dark/Ice
Name:Ting-Lu, Type:Dark/Ground
Name:Chi-Yu, Type:Dark/Fire
Name:Roaring Moon, Type:Dragon/Dark
Name:Iron Valiant, Type:Fairy/Fighting
Name:Koraidon, Type:Fighting/Dragon
Name:Miraidon, Type:Electric/Dragon
Name:Walking Wake, Type:Water/Dragon
Name:Iron Leaves, Type:Grass/Psychic
Name:Dipplin, Type:Grass/Dragon
Name:Poltchageist, Type:Grass/Ghost
Name:Sinistcha, Type:Grass/Ghost
Name:Okidogi, Type:Poison/Fighting
Name:Munkidori, Type:Poison/Psychic
Name:Fezandipiti, Type:Poison/Fairy
Name:Ogerpon, Type:Grass
Name:Archaludon, Type:Steel/Dragon
Name:Hydrapple, Type:Grass/Dragon
Name:Gouging Fire, Type:Fire/Dragon
Name:Raging Bolt, Type:Electric/Dragon
Name:Iron Boulder, Type:Rock/Psychic
Name:Iron Crown, Type:Steel/Psychic
Name:Terapagos, Type:Normal
Name:Pecharunt, Type:Poison/Ghost
